ID,Name,Description,Category
WO02b,Postpositions,"Postpositions are adpositions that follow the noun phrase they occur
with. In Kyrgyz, see ‎(1), the postposition (alternatively case suffix)
*ga* encodes a goal relation.

(1) <span id=""_Ref531867975"" class=""anchor""></span>Kyrgyz
\[kir\] (Turkic)

| min                                                   | dʑinin | miz   | **=ga ** | qoj-du-m                                                  |
|-------------------------------------------------------|--------|-------|----------|-----------------------------------------------------------|
| <span style=""font-variant:small-caps;"">1sg.nom</span> | cup    | table | =(on).to | put-<span style=""font-variant:small-caps;"">pst-1sg</span> |
| ‘I put the cup onto the table.’ (KIR-Val-YB:041)      |

In some of the languages, postpositions co-occur with prepositions to
express certain spatial or temporal relations. This is the case in
Pashto of Afghanistan, as can be seen in ‎(2).

(1) <span id=""_Ref12434196"" class=""anchor""></span>Pashto, Afghanistan
\[pbu(a)\] (Iranian)

| məɳa                                              | **la ** | wəniː                                                  | **tsaχa ** | wu-lw-eːdəl-a                                                                                                 |
|---------------------------------------------------|---------|--------------------------------------------------------|------------|---------------------------------------------------------------------------------------------------------------|
| apple                                             | of      | tree.<span style=""font-variant:small-caps;"">obl</span> | from       | <span style=""font-variant:small-caps;"">pfv</span>-fall-<span style=""font-variant:small-caps;"">pst-3fsg</span> |
| ‘The apple fell from the tree.’ (PBUa-Val-KO:084) |

The presence of postpositions is a majority feature in the region. Only
a handful of the sample languages (all Iranian) do not show any evidence
of having postpositions.",Word order
WO02c,Prepositions,"Prepositions are adpositions that precede the noun phrase they occur
with. In Yidgha, see ‎(1), the preposition *ne* encodes a goal relation.

(1) <span id=""_Ref531867975"" class=""anchor""></span>Yidgha
\[ydg\] (Iranian)

| ʑiŋgo                                            | **ne ** | bazaːr | ʂu-wi                                                    |     |
|--------------------------------------------------|---------|--------|----------------------------------------------------------|-----|
| woman                                            | to      | bazaar | go.<span style=""font-variant:small-caps;"">pst-3sg</span> |     |
| ‘The woman went to the market.’ (YDG-Val-SZ:054) |

In some of the languages, prepositions co-occur with postpositions to
express certain spatial or temporal relations. This is the case in
Parachi, as can be seen in ‎(2).

(1) <span id=""_Ref12434196"" class=""anchor""></span>Parachi
\[prc\] (Iranian)

| bɑːl-ɑːn                                               | **suːr **   | farʃ  | **tar ** | naʃtan   |
|--------------------------------------------------------|-------------|-------|----------|----------|
| child-<span style=""font-variant:small-caps;"">pl</span> | on.(top.of) | floor | in       | sit.down |
| ‘The children sat on the floor.’ (PRC-Val-SH:050)      |

The presence of prepositions found in our sample is limited to the
Iranian languages of the region and are found primarily in the
northwest.",Word order
WO03,Initial Interrogative in Content Question,"Cross-linguistically, interrogative phrases occur either obligatorily at
the beginning of the sentence (as it does in English), or in other
positions, such as in the position in which the corresponding
non-interrogative phrase occurs. The adjectival interrogative in the
Alingar Pashai content question in (1) occurs immediately before its
noun phrase head, just like corresponding non-interrogative adjectival
modifiers do.

(1) <span id=""_Ref531867975"" class=""anchor""></span>Alingar Pashai
\[psi(ar)\] (Indo-Aryan)

| alə                                             | **kutar ** | mətɕ | aːs                                                           |     |
|-------------------------------------------------|------------|------|---------------------------------------------------------------|-----|
| this                                            | what.kind  | fly  | be.<span style=""font-variant:small-caps;"">3.an.msg.prs</span> |     |
| ‘What kind of bug is this?’ (PSIar-Dem-HA:003b) |

In the sample, none of the languages display an obligatory
sentence-initial occurrence. Instead, interrogative phrases occur in the
same position as in non-interrogative sentences.",Word order
WO04a,Initial Polar Question Particle,"Questions that elicit a response equivalent to ‘yes’ or ‘no’ are formed
with an utterance-initial question particle in some languages. In Gojri
as spoken in Afghanistan this is an option, as seen in (1),while similar
polar questions in Gojri as spoken in Pakistan, as in (2), use
intonation to differentiate them from corresponding statements. The
initial polar question particle in Gojri of Afghanistan is mostly likely
a loan from Iranian Dari that has been incorporated relatively recently
into the language.

(1) <span id=""_Ref531867975"" class=""anchor""></span>Gojri, Afghanistan
\[gju(a)\] (Indo-Aryan)

| **aːjaː **                                      | jeː  | tiːr-iː                                                   | kitaːb                                                | heː                                                      |
|-------------------------------------------------|------|-----------------------------------------------------------|-------------------------------------------------------|----------------------------------------------------------|
| <span style=""font-variant:small-caps;"">q</span> | this | <span style=""font-variant:small-caps;"">2sg.gen-fsg</span> | book(<span style=""font-variant:small-caps;"">f</span>) | be.<span style=""font-variant:small-caps;"">prs.3sg</span> |
| ‘Is this your book?’ (GJUa-Dem-AQ:004a)         |

(1) <span id=""_Ref50635735"" class=""anchor""></span>Gojri, Pakistan
\[gju(p)\] (Indo-Aryan)

| ju                                      | te:r-u                                                    | ba:l                                                  | he                                                       |     |
|-----------------------------------------|-----------------------------------------------------------|-------------------------------------------------------|----------------------------------------------------------|-----|
| that                                    | <span style=""font-variant:small-caps;"">2sg.gen-msg</span> | ball(<span style=""font-variant:small-caps;"">m</span>) | be.<span style=""font-variant:small-caps;"">prs.3sg</span> |     |
| ‘Is that your ball?’ (GJUp-Dem-RN:005a) |

Approximately a third of the languages in the sample use initial polar
question markers. These represent Indo-Aryan, Nuristani, Iranian, and
Turkic. All of those are languages spoken in Afghanistan.",Word order
WO04b,Final Polar Question Particle,"Questions that elicit a response equivalent to ‘yes’ or ‘no’ are formed
with an utterance-final question particle in some languages. Ladakhi is
one of those languages. An example is given in (1). The question
particle *a* is cliticized to the preceding equative copula.

(1) <span id=""_Ref531867975"" class=""anchor""></span>Ladakhi
\[lbj\] (Sino-Tibetan)

| ote                                    | polo | kʰuri                                                 | in=**a**                                           |     |
|----------------------------------------|------|-------------------------------------------------------|----------------------------------------------------|-----|
| that                                   | ball | <span style=""font-variant:small-caps;"">2sg.gen</span> | <span style=""font-variant:small-caps;"">eq=q</span> |     |
| ‘Is this your ball?’ (LBJ-Dem-IS:005a) |

Nearly half of the languages in the sample use final polar question
markers. These represent all six phylogenetic groupings included in the
sample.",Word order
WO05a,Adjective Noun Word Order,"The relative order of a noun and an adjective modifying it was
investigated. The order AdjN, i.e. the adjective preceding the noun, is
exemplified by Gawarbati of Afghanistan in (1).

(1) <span id=""_Ref531867975"" class=""anchor""></span>Gawarbati,
Afghanistan \[gwt(a)\] (Indo-Aryan)

| poːl-iː                                                                           | ʈeːkuriː |     |     |     |
|-----------------------------------------------------------------------------------|----------|-----|-----|-----|
| small-<span style=""font-variant:small-caps;"">fsg</span>                           | girl     |     |     |     |
| ADJ                                                                               | NOUN     |     |     |     |
| <span id=""_Hlk50649735"" class=""anchor""></span>‘the little girl’ (GWTa-Val-AG:057) |

Nearly all of the sample languages apply an adjective—noun word order
(either as the only option, or in addition to the reverse order). It is
only entirely absent in a few of the languages.",Word order
WO05b,Noun Adjective Word Order,"The relative order of a noun and an adjective modifying it was
investigated. The order NAdj, i.e. the adjective following the noun, is
exemplified by Ladakhi in (1).

(1) <span id=""_Ref531867975"" class=""anchor""></span>Ladakhi
\[lbj\] (Sino-Tibetan)

| pomo                               | tɕun                                              |     |     |
|------------------------------------|---------------------------------------------------|-----|-----|
| girl                               | small                                             |     |     |
| NOUN                               | <span style=""font-variant:small-caps;"">ADJ</span> |     |     |
| ‘the little girl’ (LBJ-Val-IS:057) |

This is a minority feature. Only a few sample languages apply a
noun—adjective word order (either as the only option, or in addition to
the reverse order).",Word order
WO06,Demonstrative Noun Word Order,"The relative order of a noun and a demonstrative accompanying it was
investigated. The order DemN, i.e. the demonstrative preceding the noun,
is exemplified by Eastern Kati in (1).

(1) <span id=""_Ref531867975"" class=""anchor""></span>Eastern Kati
\[bsh(e)\] (Nuristani)

| iki                            | tuːb                                               |     |     |
|--------------------------------|----------------------------------------------------|-----|-----|
| that                           | ball                                               |     |     |
| DEM                            | <span style=""font-variant:small-caps;"">NOUN</span> |     |     |
| ‘that ball’ (BSHe-Dem-ZA:005a) |

This order is present in all the languages of the sample.",Word order
WO07a,Object Oblique Word Order,"The order in a clause between a lexical object and an oblique phrase was
investigated. The latter is a noun phrase or an adverbial phrase that
functions as an adverbial modifier of the verb. The order object
followed by an oblique phrase is attested for Uzbek, as seen in (1).

(1) <span id=""_Ref531867975"" class=""anchor""></span>Uzbek
\[uzs\] (Turkic)

| χɑːtin                                                       | uːʁul-niː                                             | bir                                               | kampal  | minan | jɑːp-tiː                                                    |
|--------------------------------------------------------------|-------------------------------------------------------|---------------------------------------------------|---------|-------|-------------------------------------------------------------|
| woman                                                        | boy-<span style=""font-variant:small-caps;"">acc</span> | one                                               | blanket | with  | cover-<span style=""font-variant:small-caps;"">pst.3sg</span> |
|                                                              | <span style=""font-variant:small-caps;"">OBJ</span>     | <span style=""font-variant:small-caps;"">OBL</span> |         |       |                                                             |
| ‘The woman covered the boy with a blanket.’ (UZS-Val-KB:043) |

This order is present in a little more than half of the sample, either
as the only option or as an alternative to the reverse order. This
feature is primarily present in the west and the north.",Word order
WO07b,Oblique Object Word Order,"The order in a clause between a lexical object and an oblique phrase was
investigated. The latter is a noun phrase or an adverbial phrase that
functions as an adverbial modifier of the verb. The order object
preceded by an oblique phrase is attested for Gawri, as seen in (1).

(1) <span id=""_Ref531867975"" class=""anchor""></span>Gawri
\[gwc\] (Indo-Aryan)

| po-wa                                                     | baʈ                                               | da                                                | dareːʈ | pʰoʈeːg                                                   |     |
|-----------------------------------------------------------|---------------------------------------------------|---------------------------------------------------|--------|-----------------------------------------------------------|-----|
| boy-<span style=""font-variant:small-caps;"">erg</span>     | stone                                             | <span style=""font-variant:small-caps;"">ins</span> | window | break.<span style=""font-variant:small-caps;"">pst.f</span> |     |
|                                                           | <span style=""font-variant:small-caps;"">OBL</span> |                                                   | OBJ    |                                                           |     |
| ‘The boy broke the window with a stone.’ (GWC-Val-MZ:025) |

This order is present in a majority of the sample, either as the only
option or as an alternative to the reverse order. It is mainly absent in
the northwestern part of the region.",Word order
WO08,Subject Verb Word Order,"The order of lexical/pronominal subject and verb was investigated. The
order subject followed by verb is exemplified by Kamviri, as illustrated
in (1).

(1) <span id=""_Ref531867975"" class=""anchor""></span>Kamviri
\[xvi\] (Nuristani)

| babiːstə                           | maɻ-iː                                                     |     |     |     |     |
|------------------------------------|------------------------------------------------------------|-----|-----|-----|-----|
| snake                              | die.<span style=""font-variant:small-caps;"">pst-3fsg</span> |     |     |     |     |
| SBJ                                | <span style=""font-variant:small-caps;"">VERB</span>         |     |     |     |     |
| ‘The snake died.’ (XVI-Val-AB:061) |

This order is present in all of the languages of the sample.",Word order
WO09,Genitive Noun Word Order,"The order of a genitive noun phrase with respect to the head noun was
investigated. The order GenN, i.e. the genitive noun phrase preceding
the noun, is exemplified by Gawarbati of Pakistan in (1).

(1) <span id=""_Ref531867975"" class=""anchor""></span>Gawarbati, Pakistan
\[gwt(p)\] (Indo-Aryan)

| a.  | mumaː-na                                                              | puɬ   |     |     |
|-----|-----------------------------------------------------------------------|-------|-----|-----|
|     | mothers.brother-<span style=""font-variant:small-caps;"">gen.msg</span> | son   |     |     |
|     | GEN                                                                   | NOUN  |     |     |
|     | ‘uncle’s son’ (GWTp-Kin-AS:083)                                       |
| b.  | kitaːb-aːna                                                           | faʈaː |     |     |
|     | book-<span style=""font-variant:small-caps;"">gen.msg</span>            | leaf  |     |     |
|     | GEN                                                                   | NOUN  |     |     |
|     | ‘the page of a book’ (GWTp-Val-AS:032)                                |

Nearly all of the sample languages apply a genitive—noun word order. It
is only entirely absent in a couple of the languages, and indeterminate
for another few.",Word order
WO10,Possessive Noun Word Order,"The order of an independent possessive pronoun with respect to the head
noun was investigated. The order PossN, i.e. the possessive pronoun
preceding the noun, is exemplified by Khowar in (1).

(1) <span id=""_Ref531867975"" class=""anchor""></span>Khowar
\[khw\] (Indo-Aryan)

| haja                                                                                 | ta       | kitaːb=aː                                            |     |     |
|--------------------------------------------------------------------------------------|----------|------------------------------------------------------|-----|-----|
| that                                                                                 | 2sg.poss | book<span style=""font-variant:small-caps;"">=q</span> |     |     |
|                                                                                      | POSS     | <span style=""font-variant:small-caps;"">NOUN</span>   |     |     |
| <span id=""_Hlk50649735"" class=""anchor""></span>‘Is that your book?’ (KHW-Dem-AA:004a) |

Nearly all of the sample languages apply a possessive—noun word order
(some of them in addition to the use of a possessive affix). It is
entirely absent only in one of the languages, namely Iranian Darwazi.",Word order
CS01a,Ergative Alignment (Nouns),"In an ergative system of case marking, A, the more agent-like NP
argument of a two-place transitive predicate, is encoded differently
from S, the core argument of a one-place intransitive predicate. Any
occurrence (whether consistently or in a sub-domain of a language) of
such (A≠S contrastive) marking of full noun phrases has been taken as
positive evidence of this feature. In Western Kati, the A argument
carries an oblique case suffix *–a* in the past tense, while the S
argument remains zero marked for case.

(1) <span id=""_Ref531867975"" class=""anchor""></span>Western Kati
\[bsh(w)\] (Nuristani)

| a.  | dʑuk                                | ʑen-e                                                      |
|-----|-------------------------------------|------------------------------------------------------------|
|     | girl                                | cry.<span style=""font-variant:small-caps;"">pst-3fsg</span> |
|     | **S**                               |                                                            |
|     | ‘The girl cried.’ (BSHw-Val-AU:083) |

| b.  | dʑuk-**a**                                                    | wa-is                                                              | kə  | gul     | sami-ə                                                     |
|-----|---------------------------------------------------------------|--------------------------------------------------------------------|-----|---------|------------------------------------------------------------|
|     | girl-<span style=""font-variant:small-caps;"">obl</span>        | grandmother-<span style=""font-variant:small-caps;"">3sg.poss</span> | for | flowers | send.<span style=""font-variant:small-caps;"">pst-3pl</span> |
|     | **A**                                                         |                                                                    |     | P       |                                                            |
|     | ‘The girl sent flowers to her grandmother.’ (BSHw-Val-AU:037) |

A majority of our sample languages display evidence of ergative
alignment for nouns. The distribution is clearly subareal, with ergative
alignment in the south and in the central parts of the Hindu Kush
region, and the lack thereof primarily in the north.",Clause structure
CS01b,Accusative Alignment (Nouns),"In an accusative system of case marking, P, the more patient-like NP
argument of a two-place transitive predicate, is encoded differently
from S, the core argument of a one-place intransitive predicate. Any
occurrence (whether consistently or in a sub-domain of a language) of
such (P≠S contrastive) marking of full noun phrases has been taken as
positive evidence of this feature. In Uzbek (see ‎(1)), the P argument
carries a case suffix *–deː*, while the S argument remains zero marked
for case. (The case marking *‑de* in addition encodes various locative
relations. A direct object with definite reference may also occur with a
suffix *–niː*.)

(1) <span id=""_Ref531867975"" class=""anchor""></span>Uzbek
\[uzs\] (Turkic)

| a.  | iːlɑːn                             | wiːl-deː                                              |
|-----|------------------------------------|-------------------------------------------------------|
|     | snake                              | die-<span style=""font-variant:small-caps;"">pst</span> |
|     | **S**                              |                                                       |
|     | ‘The snake died.’ (UZS-Val-KB:061) |

| b.  | uːʁul                                                  | iːlɑːn=deː                                              | jaʁɑːtɕ | minan | uːr-deː                                               |
|-----|--------------------------------------------------------|---------------------------------------------------------|---------|-------|-------------------------------------------------------|
|     | boy                                                    | snake=<span style=""font-variant:small-caps;"">loc</span> | stick   | with  | hit-<span style=""font-variant:small-caps;"">pst</span> |
|     | A                                                      | **P**                                                   |         |       |                                                       |
|     | ‘The boy hit the snake with a stick.’ (UZS-Val-KB:028) |

Accusative alignment is clearly subareal in its distribution. While it
is not a feature associated with the geographical core of the Hindu
Kush, it is strongly represented in the northwestern sub-region (in
Indo-Aryan, Nuristani, Iranian and Turkic), and then again in the
southeastern sub-region (Indo-Aryan and Tibeto-Burman).",Clause structure
CS02a,A Agreement (Past),"This feature is defined as the presence in the past tenses of verbal
agreement with the more agent-like NP argument of a two-place transitive
predicate. It may or may not co-occur with agreement with the more
patient-like argument. In Gurezi Shina, the verb agrees with the A
argument in person, gender and number, as seen in ‎(1). Note, that while
Gurezi Shina displays ergative-absolutive alignment in case marking,
verbal agreement is nominative-accusative.<span id=""_Hlk51161991""
class=""anchor""></span>

(1) <span id=""_Ref531867975"" class=""anchor""></span>Gurezi Shina
\[scl(i)\] (Indo-Aryan)

| a.  | beːs                                                   | tɕuːɳoː-ɽ                                                  | kitaːb-eː                                             | di-**eːs**                                                  |
|-----|--------------------------------------------------------|------------------------------------------------------------|-------------------------------------------------------|-------------------------------------------------------------|
|     | <span style=""font-variant:small-caps;"">1mpl.erg</span> | child-<span style=""font-variant:small-caps;"">pl.dat</span> | book-<span style=""font-variant:small-caps;"">pl</span> | give<span style=""font-variant:small-caps;"">-pfv.1mpl</span> |
|     | **A**                                                  |                                                            | P                                                     |                                                             |
|     | ‘We gave the books to the children.’ (SCLi-Val-SA:036) |

| b.  | miː                                                       | baːl-õw                                                  | madid | tʰ-**aːs**                                                |     |
|-----|-----------------------------------------------------------|----------------------------------------------------------|-------|-----------------------------------------------------------|-----|
|     | <span style=""font-variant:small-caps;"">1sg.erg.pfv</span> | boy-<span style=""font-variant:small-caps;"">pl.gen</span> | help  | do-<span style=""font-variant:small-caps;"">pfv.1msg</span> |     |
|     | **A**                                                     |                                                          | P     |                                                           |     |
|     | ‘I helped the boys.’ (SCLi-Val-SA:015)                    |

| c.  | muːlaj-õw                                                  | tɕuːɳ-oːɽ                                                  | roːp     | tʰ-**iː**                                                 |     |
|-----|------------------------------------------------------------|------------------------------------------------------------|----------|-----------------------------------------------------------|-----|
|     | woman-<span style=""font-variant:small-caps;"">pl.erg</span> | child-<span style=""font-variant:small-caps;"">pl.dat</span> | shouting | do-<span style=""font-variant:small-caps;"">pfv.3fsg</span> |     |
|     | **A**                                                      |                                                            | P        |                                                           |     |
|     | ‘The woman shouted at the children.’ (SCLi-Val-SA:020)     |

This feature, evidenced in nearly half of the sample, is particularly
well-represented in the northern half of the region.",Clause structure
CS02b,P Agreement (Past),"This feature is defined as the presence in the past tenses of verbal
agreement with the more patient-like NP argument of a two-place
transitive predicate. It may or may not co-occur with agreement with the
more agent-like argument. In Palula, the verb agrees with the P argument
in gender and number, as seen in ‎(1).

(1) <span id=""_Ref531867975"" class=""anchor""></span>Palula
\[phl\] (Indo-Aryan)

| a.  | pʰoː-a                                                                      | lhaleːmi                                               | paɳareː-l-**i**                                                                                          |     |
|-----|-----------------------------------------------------------------------------|--------------------------------------------------------|----------------------------------------------------------------------------------------------------------|-----|
|     | boy-<span style=""font-variant:small-caps;"">obl</span>                       | stick(<span style=""font-variant:small-caps;"">f</span>) | peel-<span style=""font-variant:small-caps;"">pfv</span>-<span style=""font-variant:small-caps;"">fsg</span> |     |
|     | A                                                                           | **P**                                                  |                                                                                                          |     |
|     | ‘The boy peeled the bark \[lit. whitened\] off the stick.’ (PHL-Val-NH:033) |

| b.  | pʰaj                                                             | oːstoːz-a                                                 | tʰe | naqɕeː                                                                                                    | paɕawoː-l-**a**                                            |
|-----|------------------------------------------------------------------|-----------------------------------------------------------|-----|-----------------------------------------------------------------------------------------------------------|------------------------------------------------------------|
|     | girl                                                             | teacher-<span style=""font-variant:small-caps;"">obl</span> | to  | picture(<span style=""font-variant:small-caps;"">m</span>).<span style=""font-variant:small-caps;"">pl</span> | show-<span style=""font-variant:small-caps;"">pfv-mpl</span> |
|     | A                                                                |                                                           |     | **P**                                                                                                     |                                                            |
|     | ‘The girls showed the pictures to the teacher.’ (PHL-Val-NH:035) |

| c.  | pʰaj                                                     | gileːsi                                                 | weː  | wiː                                                    | puːr-il-**o**                                              |
|-----|----------------------------------------------------------|---------------------------------------------------------|------|--------------------------------------------------------|------------------------------------------------------------|
|     | girl                                                     | glass-<span style=""font-variant:small-caps;"">obl</span> | into | water(<span style=""font-variant:small-caps;"">m</span>) | fill-<span style=""font-variant:small-caps;"">pfv-msg</span> |
|     | A                                                        |                                                         |      | **P**                                                  |                                                            |
|     | ‘The girl filled the glass with water.’ (PHL-Val-NH:044) |

This feature, evidenced in nearly half of the sample, is particularly
well-represented in the southern half of the region.",Clause structure
CS03a,Zero Copula for Predicate Nominals,"Clauses with nonverbal predicates may or may not have a copula, i.e. an
element explicitly linking a copula subject with a copula complement.
For complements encoding identity, some of the sample languages do not
need an overt copula, as shown for Kalasha in ‎(1) and Roshani in ‎(2).

(1) <span id=""_Ref531867975"" class=""anchor""></span>Kalasha
\[kls\] (Indo-Aryan)

| ɕ-iːa                                                          | motɕ | iɕkaːri |     |     |
|----------------------------------------------------------------|------|---------|-----|-----|
| <span style=""font-variant:small-caps;"">emph-prox.nom.sg</span> | man  | hunter  |     |     |
| ‘This man is a hunter.’ (KLS-Val-LR:070)                       |

(1) <span id=""_Ref12434196"" class=""anchor""></span>Roshani
\[sgh(r)\] (Iranian)

| jim                                                    | tʃuruk | ɣiːwgar |     |     |
|--------------------------------------------------------|--------|---------|-----|-----|
| <span style=""font-variant:small-caps;"">def.prox</span> | man    | hunter  |     |     |
| ‘This man is a hunter.’ (SGHr-Val-ZB:070)              |

Although not a majority feature in the region in its entirety, this is a
strongly sub-areal feature, occurring in Iranian, Indo-Aryan and Turkic
in a contiguous area in the region’s northwest.",Clause structure
CS03b,Zero Copula for Predicate Adjectives,"Clauses with nonverbal predicates may or may not have a copula, i.e. an
element explicitly linking a copula subject with a copula complement.
For complements encoding properties, some of the sample languages do not
need an overt copula, as shown for Ishkashimi in ‎(1) and Uzbek in ‎(2).

(1) <span id=""_Ref531867975"" class=""anchor""></span>Ishkashimi
\[isk\] (Iranian)

| aw                                                | χɑːn  | faj  | friː |     |
|---------------------------------------------------|-------|------|------|-----|
| that                                              | house | very | good |     |
| ‘That house is very beautiful.’ (ISK-Dem-SO:006a) |

(1) <span id=""_Ref12434196"" class=""anchor""></span>Uzbek \[uzs\] (Turkic)

| uː                                                | uːj   | koːp | jaχsiː |     |
|---------------------------------------------------|-------|------|--------|-----|
| that                                              | house | very | good   |     |
| ‘That house is very beautiful.’ (UZS-Dem-WD:006a) |

Although not a majority feature in the region in its entirety, this is
possibly a significant sub-areal feature, occurring mainly in the
northern parts of the region, evidently in Iranian, Indo-Aryan and
Turkic.",Clause structure
CS03c,Shared Encoding of Nominal and Adjectival Predicates,"It was investigated whether the same copula could be applied equally to
nominal and adjectival predicates. Ashkun, as in (1), is an example of a
language in which nominal and adjectival predicates normally are encoded
in the same way, i.e. with an inflected copula verb.

(1) <span id=""_Ref12281344"" class=""anchor""></span>Ashkun
\[ask\] (Nuristani)

| a.  | aːjaː                                           | jak  | kitaːb | tuwə                                                  | **səj**                                                  |
|-----|-------------------------------------------------|------|--------|-------------------------------------------------------|----------------------------------------------------------|
|     | <span style=""font-variant:small-caps;"">q</span> | this | book   | <span style=""font-variant:small-caps;"">2sg.gen</span> | be.<span style=""font-variant:small-caps;"">prs.3sg</span> |
|     | ‘Is this book yours?’ (ASK-Dem-WS:004a)         |

| b.  | paːj                                              | amə   | mələ | məjstaːk | **səj**                                                  |
|-----|---------------------------------------------------|-------|------|----------|----------------------------------------------------------|
|     | that                                              | house | very | good     | be.<span style=""font-variant:small-caps;"">prs.3sg</span> |
|     | ‘That house is very beautiful.’ (ASK-Dem-WS:006a) |

Purik, on the other hand, is an example of the negative value of this
feature. As can be seen in (2), two different copulas are used. For the
nominal predication, an equative copula *in* is used, whereas for the
adjectival predication an existential copula *duk* is used.

(1) <span id=""_Ref51160116"" class=""anchor""></span>Purik
\[prx\] (Sino-Tibetan)

| a.  | di                                       | mju | ɬiŋspa | **in**                                           |
|-----|------------------------------------------|-----|--------|--------------------------------------------------|
|     | this                                     | man | hunter | <span style=""font-variant:small-caps;"">eq</span> |
|     | ‘This man is a hunter.’ (PRX-Val-MM:070) |

| b.  | a                                                 | naŋ-po                                                  | rdemwik   | **duk**                                          |
|-----|---------------------------------------------------|---------------------------------------------------------|-----------|--------------------------------------------------|
|     | that                                              | house-<span style=""font-variant:small-caps;"">def</span> | beautiful | <span style=""font-variant:small-caps;"">ex</span> |
|     | ‘That house is very beautiful.’ (PRX-Dem-MH:006a) |

This feature is present in the majority of the sample. It is absent in
the sample’s Sino-Tibetan languages.",Clause structure
CS04a,Ergative Alignment of Verbal Marking,"In an ergative system of verb agreement, features of the more
patient-like NP argument of a two-place transitive predicate and
features of the core NP argument of a one-place intransitive predicate,
are reflected in the same way in verb morphology. A positive value is
given if this is the case in any tense-aspect category of the language
system. An example is Pashto of Pakistan, in its past tense categories,
as seen in (1). In (1a), the verb shows agreement in masculine singular
with the core NP of the intransitive clause. In (1b), the verb shows
agreement in feminine singular with the core NP of the intransitive
clause. In (1c), the verb shows agreement in masculine singular with the
direct object NP of the transitive clause. In (1d), the verb shows
agreement in feminine singular with the direct object NP of the
transitive clause.<span id=""_Hlk51167693"" class=""anchor""></span>

(1) <span id=""_Ref531867975"" class=""anchor""></span>Pashto, Pakistan
\[pbu(p)\] (Iranian)

| a.  | **alək **                                            | pə  | pəʈiː | kiː | χkaːra  | ʃ-**oː**                                                         |
|-----|------------------------------------------------------|-----|-------|-----|---------|------------------------------------------------------------------|
|     | boy(<span style=""font-variant:small-caps;"">m</span>) | at  | field | in  | visible | become.<span style=""font-variant:small-caps;"">pst.pfv-msg</span> |
|     | **S**                                                |     |       |     |         |                                                                  |
|     | ‘The boy appeared on the field.’ (PBUp-Val-KK:081)   |

| b.  | **χaza**                                               | baːzaːr | ta  | laːɽ-**a**                                                   |     |
|-----|--------------------------------------------------------|---------|-----|--------------------------------------------------------------|-----|
|     | woman(<span style=""font-variant:small-caps;"">f</span>) | market  | to  | go.<span style=""font-variant:small-caps;"">pst.pfv-fsg</span> |     |
|     | **S**                                                  |         |     |                                                              |     |
|     | ‘The woman went to the market.’ (PBUp-Val-KK:054)      |

| c.  | dʒineː                                                                                                  | χpəleː                                             | nijaː       | ta  | **gul**                                                 | wərkɽ-**oː**                                                   |
|-----|---------------------------------------------------------------------------------------------------------|----------------------------------------------------|-------------|-----|---------------------------------------------------------|----------------------------------------------------------------|
|     | girl(<span style=""font-variant:small-caps;"">f</span>)<span style=""font-variant:small-caps;"">.obl</span> | <span style=""font-variant:small-caps;"">refl</span> | grandmother | to  | flower(<span style=""font-variant:small-caps;"">m</span>) | give.<span style=""font-variant:small-caps;"">pst.pfv-msg</span> |
|     | A                                                                                                       |                                                    |             |     | **P**                                                   |                                                                |
|     | ‘The girl sent flowers to her grandmother.’ (PBUp-Val-KK:037)                                           |

| d.  | saɽiː                                                    | **tʃəʁa **                                              | kɽ-**a**                                                     |     |     |
|-----|----------------------------------------------------------|---------------------------------------------------------|--------------------------------------------------------------|-----|-----|
|     | man(<span style=""font-variant:small-caps;"">m).obl</span> | scream(<span style=""font-variant:small-caps;"">f</span>) | do.<span style=""font-variant:small-caps;"">pst.pfv-fsg</span> |     |     |
|     | A                                                        | **P**                                                   |                                                              |     |     |
|     | ‘The man screamed.’ (PBUp-Val-KK:058)                    |

This feature, evidenced in nearly half of the sample, is particularly
well-represented in the southern half of the region.",Clause structure
